Reading_ID,Battery_ID,Timestamp,Voltage_V,Current_A,Temperature_C,SOC_Percentage,Cycle_Count
R-000041,B-018,2026-03-26 19:48:37,2.41,59.57,40.31,29.91,103
R-000042,B-016,2026-03-26 19:48:37,2.57,-76.76,32.95,56.33,168
R-000043,B-012,2026-03-26 19:49:37,3.59,129.23,35.47,32.12,174
R-000044,B-006,2026-03-26 19:49:37,2.37,-44.79,33.78,20.83,109
R-000045,B-024,2026-03-26 19:49:37,2.42,-42.89,30.46,20.13,59
R-000046,B-021,2026-03-26 19:49:37,3.51,-16.42,38.78,75.7,25
R-000047,B-003,2026-03-26 19:49:37,3.28,-20.55,30.17,55.73,48
R-000048,B-001,2026-03-26 19:49:37,3.21,-36.77,26.2,42.03,190
R-000049,B-003,2026-03-26 19:50:37,3.31,-18.78,43.37,55.51,48
R-000050,B-020,2026-03-26 19:50:37,2.75,-34.85,36.88,79.38,88
R-000051,B-025,2026-03-26 19:50:37,2.5,-11.52,37.4,32.47,123
R-000052,B-002,2026-03-26 19:51:37,3.63,101.49,42.66,28.89,53
R-000053,B-007,2026-03-26 19:51:37,3.65,-44.62,40.26,31.66,37
R-000054,B-024,2026-03-26 19:51:37,2.35,-59.81,41.78,19.37,59
R-000055,B-015,2026-03-26 19:51:37,2.75,-73.91,38.47,85.37,106
R-000056,B-013,2026-03-26 19:51:37,3.14,-42.73,27.53,25.52,191
R-000057,B-005,2026-03-26 19:51:37,3.1,74.34,26.47,20.77,199
R-000058,B-004,2026-03-26 19:51:37,2.79,65.54,37.24,92.13,145
R-000059,B-023,2026-03-26 19:51:37,3.91,-27.96,31.61,67.47,136
R-000060,B-022,2026-03-26 19:51:37,3.34,-40.66,30.51,60.79,129
R-000061,B-021,2026-03-26 19:51:37,3.43,-31.07,25.03,74.79,25
R-000062,B-011,2026-03-26 19:51:37,2.46,-89.32,27.02,28.86,77
R-000063,B-019,2026-03-26 19:51:37,3.68,65.09,37.86,37.33,32
R-000064,B-014,2026-03-26 19:52:37,3.91,-98.69,37.42,70.71,152
R-000065,B-025,2026-03-26 19:52:37,2.45,-70.88,36.04,32.05,123
R-000066,B-006,2026-03-26 19:52:37,2.42,-25.74,26.47,19.87,109
R-000067,B-017,2026-03-26 19:52:37,3.06,-16.53,25.12,19.34,169
R-000068,B-013,2026-03-26 19:52:37,3.13,-74.05,26.24,24.56,191
R-000069,B-010,2026-03-26 19:52:37,2.7,122.2,26.3,77.17,45
R-000070,B-007,2026-03-26 19:53:37,3.67,-73.43,35.48,30.72,37
R-000071,B-018,2026-03-26 19:53:37,2.47,103.26,27.11,30.83,103
R-000072,B-008,2026-03-26 19:53:37,3.71,-82.28,34.17,39.73,29
R-000073,B-005,2026-03-26 19:53:37,3.05,54.13,44.92,21.75,199
R-000074,B-006,2026-03-26 19:53:37,2.38,-63.86,26.77,19.09,109
R-000075,B-011,2026-03-26 19:53:37,2.46,-88.65,39.01,28.53,77
R-000076,B-009,2026-03-26 19:53:37,4.11,-89.38,29.01,85.36,104
R-000077,B-014,2026-03-26 19:53:37,4.0,-77.74,40.56,70.22,152
R-000078,B-013,2026-03-26 19:53:37,3.12,-28.83,33.93,23.96,191
R-000079,B-003,2026-03-26 19:53:37,3.34,-26.18,37.51,54.67,48
R-000080,B-015,2026-03-26 19:53:37,2.8,-84.55,34.27,84.98,106
R-000081,B-016,2026-03-26 19:53:37,2.58,-11.2,35.2,55.93,168
R-000082,B-003,2026-03-26 19:54:37,3.36,-37.1,43.2,54.05,48
R-000083,B-009,2026-03-26 19:54:37,4.05,-68.68,33.49,85.08,104
R-000084,B-001,2026-03-26 19:54:37,3.24,-47.73,36.4,41.84,190
R-000085,B-006,2026-03-26 19:54:37,2.4,-13.73,42.37,18.17,109
R-000086,B-012,2026-03-26 19:54:37,3.62,83.36,40.37,32.63,174
R-000087,B-007,2026-03-26 19:54:37,3.61,-93.62,29.53,30.59,37
R-000088,B-021,2026-03-26 19:55:37,3.48,-71.38,26.44,74.34,25
R-000089,B-019,2026-03-26 19:55:37,3.71,70.64,44.97,38.82,32
R-000090,B-008,2026-03-26 19:55:37,3.69,-10.12,31.43,39.22,29
R-000091,B-020,2026-03-26 19:55:37,2.77,-95.4,25.85,78.88,88
R-000092,B-023,2026-03-26 19:55:37,3.89,-96.89,33.71,67.32,136
R-000093,B-016,2026-03-26 19:55:37,2.55,-91.83,36.34,55.11,168
R-000094,B-012,2026-03-26 19:56:37,3.65,92.39,36.57,32.95,174
R-000095,B-024,2026-03-26 19:56:37,2.35,-78.53,32.2,18.38,59
R-000096,B-001,2026-03-26 19:56:37,3.18,-24.33,31.62,41.48,190
R-000097,B-018,2026-03-26 19:56:37,2.43,84.86,32.9,31.04,103
R-000098,B-022,2026-03-26 19:56:37,3.37,-81.73,25.6,60.2,129
R-000099,B-009,2026-03-26 19:56:37,4.06,-43.92,32.46,84.59,104
R-000100,B-007,2026-03-26 19:56:37,3.65,-64.11,37.69,30.23,37
R-000101,B-004,2026-03-26 19:56:37,2.79,73.92,29.88,92.83,145
R-000102,B-017,2026-03-26 19:56:37,3.06,-21.15,32.94,19.21,169
R-000103,B-002,2026-03-26 19:56:37,3.58,50.25,37.44,29.04,53
R-000104,B-013,2026-03-26 19:57:37,3.07,-66.17,36.82,23.05,191
R-000105,B-012,2026-03-26 19:57:37,3.62,98.26,36.53,33.55,174
R-000106,B-019,2026-03-26 19:57:37,3.68,108.68,32.71,39.2,32
R-000107,B-016,2026-03-26 19:57:37,2.62,-71.7,43.26,54.34,168
R-000108,B-002,2026-03-26 19:57:37,3.57,98.16,28.79,29.46,53
R-000109,B-010,2026-03-26 19:57:37,2.7,78.0,44.71,78.12,45
R-000110,B-025,2026-03-26 19:57:37,2.41,-80.81,36.73,31.78,123
R-000111,B-011,2026-03-26 19:57:37,2.42,-31.57,27.15,28.02,77
R-000112,B-023,2026-03-26 19:58:37,3.95,-48.33,32.64,66.69,136
R-000113,B-014,2026-03-26 19:58:37,3.89,-21.76,42.72,69.54,152
R-000114,B-015,2026-03-26 19:58:37,2.77,-72.4,35.93,84.53,106
R-000115,B-021,2026-03-26 19:58:37,3.43,-72.87,34.68,73.43,25
R-000116,B-008,2026-03-26 19:58:37,3.71,-24.08,42.84,38.29,29
R-000117,B-002,2026-03-26 19:58:37,3.62,146.78,26.36,30.94,53
R-000118,B-022,2026-03-26 19:58:37,3.35,-42.07,39.18,59.54,129
R-000119,B-006,2026-03-26 19:58:37,2.4,-56.91,27.19,18.04,109
R-000120,B-018,2026-03-26 19:58:37,2.49,90.45,44.7,32.09,103
R-000121,B-003,2026-03-26 19:58:37,3.34,-79.41,40.02,53.2,48
R-000122,B-005,2026-03-26 19:58:37,3.13,126.6,35.89,22.72,199
R-000123,B-009,2026-03-26 19:59:37,4.11,-36.92,44.74,84.04,104
R-000124,B-013,2026-03-26 19:59:37,3.12,-77.11,42.66,22.18,191
R-000125,B-023,2026-03-26 19:59:37,3.94,-19.59,33.26,66.5,136
R-000126,B-008,2026-03-26 19:59:37,3.67,-86.03,26.39,38.13,29
R-000127,B-007,2026-03-26 19:59:37,3.62,-37.63,31.42,30.02,37
R-000128,B-017,2026-03-26 19:59:37,3.03,-26.61,36.16,18.68,169
R-000129,B-020,2026-03-26 19:59:37,2.75,-15.9,40.79,78.38,88
R-000130,B-019,2026-03-26 19:59:37,3.74,114.58,27.25,40.48,32
R-000131,B-005,2026-03-26 20:00:37,3.14,115.35,37.02,24.07,199
R-000132,B-011,2026-03-26 20:00:37,2.39,-23.83,41.38,27.69,77
R-000133,B-022,2026-03-26 20:00:37,3.38,-42.6,29.89,58.56,129
R-000134,B-001,2026-03-26 20:01:37,3.23,-47.52,40.42,41.31,190
R-000135,B-002,2026-03-26 20:01:37,3.6,51.42,32.12,31.89,53
R-000136,B-025,2026-03-26 20:01:37,2.43,-87.53,28.42,30.88,123
R-000137,B-017,2026-03-26 20:01:37,3.06,-66.28,37.61,17.95,169
R-000138,B-003,2026-03-26 20:01:37,3.32,-14.11,44.8,52.52,48
R-000139,B-010,2026-03-26 20:01:37,2.76,102.04,42.35,79.19,45
R-000140,B-016,2026-03-26 20:01:37,2.55,-91.19,30.01,53.61,168
R-000141,B-024,2026-03-26 20:01:37,2.42,-60.11,33.82,17.67,59
R-000142,B-023,2026-03-26 20:01:37,3.94,-76.63,43.41,65.8,136
R-000143,B-014,2026-03-26 20:01:37,3.93,-74.79,42.55,69.37,152
R-000144,B-018,2026-03-26 20:01:37,2.46,78.96,28.33,32.76,103
R-000145,B-004,2026-03-26 20:01:37,2.83,60.62,35.19,93.27,145
R-000146,B-007,2026-03-26 20:01:37,3.62,-87.14,43.49,29.73,37
R-000147,B-013,2026-03-26 20:02:37,3.06,-54.08,39.51,21.28,191
R-000148,B-006,2026-03-26 20:02:37,2.38,-35.5,28.44,17.84,109
R-000149,B-019,2026-03-26 20:02:37,3.7,73.85,29.27,40.93,32
R-000150,B-023,2026-03-26 20:02:37,3.94,-22.3,43.2,65.67,136
R-000151,B-012,2026-03-26 20:02:37,3.63,111.58,37.84,33.76,174
R-000152,B-003,2026-03-26 20:03:37,3.28,-26.36,31.17,51.58,48
R-000153,B-007,2026-03-26 20:03:37,3.64,-90.38,38.32,29.54,37
R-000154,B-016,2026-03-26 20:03:37,2.61,-51.62,41.75,53.0,168
R-000155,B-012,2026-03-26 20:03:37,3.64,107.54,39.69,35.03,174
R-000156,B-021,2026-03-26 20:03:37,3.5,-76.61,34.8,72.5,25
R-000157,B-024,2026-03-26 20:03:37,2.4,-93.89,31.36,17.27,59
R-000158,B-011,2026-03-26 20:03:37,2.38,-81.16,29.07,26.75,77
R-000159,B-015,2026-03-26 20:03:37,2.79,-99.26,37.65,84.1,106
R-000160,B-004,2026-03-26 20:04:37,2.85,124.09,38.07,93.88,145
R-000161,B-010,2026-03-26 20:04:37,2.74,53.93,41.97,79.54,45
R-000162,B-020,2026-03-26 20:04:37,2.7,-33.4,31.71,77.48,88
R-000163,B-016,2026-03-26 20:04:37,2.54,-25.28,34.07,52.61,168
R-000164,B-017,2026-03-26 20:04:37,3.03,-59.42,27.57,17.38,169
R-000165,B-009,2026-03-26 20:04:37,4.05,-25.48,31.21,83.87,104
R-000166,B-008,2026-03-26 20:04:37,3.71,-12.58,41.2,37.52,29
R-000167,B-005,2026-03-26 20:04:37,3.05,125.72,25.5,24.47,199
R-000168,B-014,2026-03-26 20:04:37,3.91,-97.9,36.51,68.76,152
R-000169,B-002,2026-03-26 20:05:37,3.63,78.9,35.27,32.14,53
R-000170,B-016,2026-03-26 20:05:37,2.59,-84.44,38.5,52.11,168
R-000171,B-022,2026-03-26 20:05:37,3.38,-67.51,44.76,58.26,129
R-000172,B-001,2026-03-26 20:05:37,3.2,-97.51,44.29,40.64,190
R-000173,B-011,2026-03-26 20:05:37,2.39,-42.37,34.4,26.15,77
R-000174,B-015,2026-03-26 20:05:37,2.8,-62.1,35.72,83.4,106
R-000175,B-016,2026-03-26 20:06:37,2.55,-62.24,31.32,51.16,168
R-000176,B-002,2026-03-26 20:06:37,3.68,77.79,26.69,33.23,53
R-000177,B-009,2026-03-26 20:06:37,4.54,-84.67,27.46,83.65,104
R-000178,B-018,2026-03-26 20:06:37,2.51,79.38,43.54,33.32,103
R-000179,B-005,2026-03-26 20:06:37,3.11,147.61,28.69,24.74,199
R-000180,B-010,2026-03-26 20:06:37,2.77,132.15,26.06,79.86,45
R-000181,B-004,2026-03-26 20:06:37,2.83,84.8,34.91,94.23,145
R-000182,B-013,2026-03-26 20:06:37,3.09,-42.45,35.85,20.66,191
R-000183,B-025,2026-03-26 20:06:37,2.49,-74.91,32.27,30.63,123
R-000184,B-003,2026-03-26 20:06:37,3.3,-55.22,28.12,50.64,48
R-000185,B-012,2026-03-26 20:06:37,3.65,62.02,39.88,36.43,174
R-000186,B-022,2026-03-26 20:06:37,3.35,-29.02,29.59,57.62,129
R-000187,B-006,2026-03-26 20:06:37,2.37,-37.59,44.95,16.94,109
R-000188,B-019,2026-03-26 20:07:37,3.74,129.73,25.49,41.08,32
R-000189,B-014,2026-03-26 20:07:37,3.9,-72.62,42.82,68.21,152
R-000190,B-023,2026-03-26 20:07:37,3.93,-44.42,44.58,65.36,136
R-000191,B-007,2026-03-26 20:07:37,3.61,-85.24,31.79,28.71,37
R-000192,B-011,2026-03-26 20:07:37,2.39,-66.12,32.33,25.61,77
R-000193,B-004,2026-03-26 20:07:37,2.81,135.95,37.89,94.67,145
R-000194,B-015,2026-03-26 20:08:37,2.73,-70.91,33.17,83.04,106
R-000195,B-024,2026-03-26 20:08:37,2.39,-78.46,36.26,16.82,59
R-000196,B-025,2026-03-26 20:08:37,2.4,-76.34,38.4,30.34,123
R-000197,B-018,2026-03-26 20:08:37,2.44,128.53,37.12,33.8,103
R-000198,B-016,2026-03-26 20:08:37,2.6,-43.27,38.48,50.84,168
R-000199,B-004,2026-03-26 20:08:37,2.79,146.63,34.25,95.59,145
R-000200,B-021,2026-03-26 20:08:37,3.47,-27.26,42.71,71.88,25
R-000201,B-017,2026-03-26 20:09:37,3.05,-95.26,29.16,17.0,169
R-000202,B-004,2026-03-26 20:09:37,3.54,74.24,28.58,95.92,145
R-000203,B-020,2026-03-26 20:09:37,2.69,-88.99,42.06,77.3,88
R-000204,B-015,2026-03-26 20:09:37,2.79,-56.96,34.48,82.49,106
R-000205,B-008,2026-03-26 20:09:37,3.65,-64.55,43.75,37.17,29
R-000206,B-012,2026-03-26 20:09:37,3.7,137.8,25.2,37.39,174
R-000207,B-010,2026-03-26 20:09:37,2.72,101.7,31.14,81.33,45
R-000208,B-022,2026-03-26 20:09:37,3.29,-45.57,29.11,57.18,129
R-000209,B-002,2026-03-26 20:10:37,3.64,90.53,42.15,33.44,53
R-000210,B-024,2026-03-26 20:10:37,2.37,-53.45,32.81,15.86,59
R-000211,B-007,2026-03-26 20:10:37,3.56,-56.03,29.5,27.89,37
R-000212,B-009,2026-03-26 20:10:37,4.02,-49.39,35.65,83.52,104
R-000213,B-018,2026-03-26 20:10:37,2.49,55.1,29.3,34.53,103
R-000214,B-001,2026-03-26 20:10:37,3.26,-83.18,33.76,40.22,190
R-000215,B-020,2026-03-26 20:10:37,2.76,-49.96,42.53,76.54,88
R-000216,B-013,2026-03-26 20:10:37,4.34,-90.78,30.73,20.13,191
R-000217,B-003,2026-03-26 20:10:37,3.26,-79.92,25.88,50.43,48
R-000218,B-006,2026-03-26 20:11:37,2.42,-80.41,33.65,16.7,109
R-000219,B-004,2026-03-26 20:11:37,2.82,119.34,37.5,97.4,145
R-000220,B-014,2026-03-26 20:11:37,3.89,-75.9,33.73,67.62,152
R-000221,B-011,2026-03-26 20:11:37,2.46,-69.78,37.42,25.11,77
R-000222,B-016,2026-03-26 20:11:37,2.6,-73.72,35.74,49.99,168
R-000223,B-003,2026-03-26 20:11:37,3.26,-83.63,28.87,49.68,48
R-000224,B-005,2026-03-26 20:11:37,3.06,83.82,33.32,25.3,199
R-000225,B-022,2026-03-26 20:11:37,3.28,-94.13,29.8,56.41,129
R-000226,B-023,2026-03-26 20:11:37,3.92,-29.83,31.31,64.95,136
R-000227,B-015,2026-03-26 20:11:37,2.72,-48.01,43.53,82.02,106
R-000228,B-019,2026-03-26 20:11:37,3.71,115.36,39.69,41.23,32
R-000229,B-006,2026-03-26 20:12:37,2.36,-87.8,43.81,16.49,109
R-000230,B-016,2026-03-26 20:12:37,2.51,-91.05,30.11,49.26,168
R-000231,B-012,2026-03-26 20:12:37,3.65,124.39,35.87,37.84,174
R-000232,B-025,2026-03-26 20:12:37,2.41,-98.02,38.76,29.58,123
R-000233,B-021,2026-03-26 20:12:37,3.49,-11.99,44.69,71.71,25
R-000234,B-019,2026-03-26 20:13:37,3.68,125.5,42.04,41.34,32
R-000235,B-010,2026-03-26 20:13:37,2.73,107.59,42.26,81.78,45
R-000236,B-021,2026-03-26 20:13:37,3.42,-96.73,29.83,70.95,25
R-000237,B-005,2026-03-26 20:13:37,3.16,77.9,25.99,26.66,199
R-000238,B-024,2026-03-26 20:14:37,2.39,-35.51,40.78,15.13,59
R-000239,B-022,2026-03-26 20:14:37,3.33,-91.98,36.61,55.75,129
R-000240,B-007,2026-03-26 20:14:37,3.55,-85.73,40.79,27.69,37
R-000241,B-019,2026-03-26 20:14:37,3.72,56.33,30.07,41.72,32
R-000242,B-008,2026-03-26 20:14:37,3.65,-13.17,31.59,36.35,29
R-000243,B-017,2026-03-26 20:14:37,3.02,-62.08,40.91,16.1,169
R-000244,B-002,2026-03-26 20:14:37,3.62,67.71,44.9,33.8,53
R-000245,B-004,2026-03-26 20:15:37,2.88,55.91,44.52,97.71,145
R-000246,B-001,2026-03-26 20:15:37,3.25,-41.31,36.84,39.29,190
R-000247,B-003,2026-03-26 20:15:37,3.31,-74.21,42.87,49.42,48
R-000248,B-015,2026-03-26 20:15:37,2.74,-56.94,37.86,81.04,106
R-000249,B-023,2026-03-26 20:15:37,3.89,-37.01,41.8,63.95,136
R-000250,B-011,2026-03-26 20:15:37,2.43,-20.29,42.15,24.74,77
R-000251,B-018,2026-03-26 20:15:37,2.43,59.14,25.35,34.64,103
R-000252,B-008,2026-03-26 20:15:37,3.7,-35.6,39.13,36.06,29
R-000253,B-019,2026-03-26 20:15:37,3.75,89.07,39.44,42.35,32
R-000254,B-013,2026-03-26 20:15:37,3.1,-38.3,34.61,19.82,191
R-000255,B-025,2026-03-26 20:15:37,2.42,-68.27,43.15,29.03,123
R-000256,B-009,2026-03-26 20:15:37,4.08,-67.91,37.45,82.7,104
R-000257,B-021,2026-03-26 20:15:37,3.44,-18.38,40.35,70.22,25
R-000258,B-020,2026-03-26 20:15:37,2.73,-61.15,29.06,76.42,88
R-000259,B-005,2026-03-26 20:16:37,3.11,105.1,25.92,26.79,199
R-000260,B-003,2026-03-26 20:16:37,3.28,-73.64,36.3,48.57,48
R-000261,B-002,2026-03-26 20:16:37,3.64,62.34,44.39,35.15,53
R-000262,B-012,2026-03-26 20:16:37,3.72,62.79,26.73,38.79,174
R-000263,B-006,2026-03-26 20:16:37,2.41,-21.28,35.61,15.91,109
R-000264,B-014,2026-03-26 20:16:37,3.9,-11.86,35.92,67.26,152
R-000265,B-020,2026-03-26 20:16:37,2.74,-65.9,44.87,76.04,88
R-000266,B-013,2026-03-26 20:17:37,3.05,-60.66,44.19,18.98,191
R-000267,B-024,2026-03-26 20:17:37,2.32,-97.65,31.79,14.17,59
R-000268,B-016,2026-03-26 20:17:37,2.55,-30.0,36.8,48.4,168
R-000269,B-001,2026-03-26 20:17:37,3.17,-28.82,36.16,38.96,190
R-000270,B-010,2026-03-26 20:17:37,2.72,66.15,30.73,82.02,45
R-000271,B-004,2026-03-26 20:17:37,2.88,64.1,27.75,99.01,145
R-000272,B-005,2026-03-26 20:17:37,3.14,63.36,35.33,27.27,199
R-000273,B-009,2026-03-26 20:17:37,4.06,-14.07,41.44,81.74,104
R-000274,B-020,2026-03-26 20:18:37,2.71,-45.18,33.57,75.8,88
R-000275,B-024,2026-03-26 20:18:37,2.4,-29.03,34.4,13.82,59
R-000276,B-025,2026-03-26 20:18:37,2.45,-72.6,29.46,28.53,123
R-000277,B-019,2026-03-26 20:18:37,3.69,67.17,40.1,43.2,32
R-000278,B-023,2026-03-26 20:18:37,3.87,-12.93,26.95,63.66,136
R-000279,B-021,2026-03-26 20:18:37,3.4,-94.28,32.9,69.87,25
R-000280,B-011,2026-03-26 20:18:37,2.4,-87.63,44.12,23.76,77
R-000281,B-024,2026-03-26 20:19:37,2.37,-65.09,43.82,12.84,59
R-000282,B-022,2026-03-26 20:19:37,3.37,-56.38,25.96,55.15,129
R-000283,B-012,2026-03-26 20:19:37,3.66,140.47,27.99,40.01,174
R-000284,B-008,2026-03-26 20:19:37,3.62,-91.97,40.77,35.81,29
R-000285,B-006,2026-03-26 20:19:37,2.35,-55.77,25.74,15.4,109
R-000286,B-017,2026-03-26 20:19:37,2.98,-47.71,36.99,15.3,169
R-000287,B-003,2026-03-26 20:19:37,3.31,-90.46,34.5,48.45,48
R-000288,B-010,2026-03-26 20:19:37,2.72,96.37,25.44,82.22,45
R-000289,B-020,2026-03-26 20:19:37,2.75,-88.41,28.58,75.25,88
R-000290,B-007,2026-03-26 20:19:37,3.56,-42.18,34.36,27.21,37
R-000291,B-009,2026-03-26 20:19:37,4.01,-79.74,35.88,81.35,104
R-000292,B-014,2026-03-26 20:19:37,3.94,-43.17,39.05,66.67,152
R-000293,B-015,2026-03-26 20:19:37,2.79,-18.2,39.98,80.8,106
R-000294,B-015,2026-03-26 20:20:37,2.77,-15.39,29.86,80.45,106
R-000295,B-018,2026-03-26 20:20:37,2.45,148.86,27.64,35.07,103
R-000296,B-017,2026-03-26 20:21:37,3.06,-10.69,65.52,14.45,169
R-000297,B-022,2026-03-26 20:21:37,3.33,-23.51,25.8,54.74,129
R-000298,B-023,2026-03-26 20:21:37,3.89,-32.29,30.27,63.3,136
R-000299,B-002,2026-03-26 20:21:37,3.67,137.05,40.29,36.45,53
R-000300,B-007,2026-03-26 20:21:37,3.54,-61.76,28.54,26.95,37
R-000301,B-024,2026-03-26 20:21:37,2.4,-13.48,40.93,12.33,59
R-000302,B-019,2026-03-26 20:21:37,3.75,68.93,27.0,43.71,32
R-000303,B-016,2026-03-26 20:21:37,2.59,-35.09,38.37,48.01,168
R-000304,B-009,2026-03-26 20:22:37,4.08,-76.4,26.4,81.21,104
R-000305,B-005,2026-03-26 20:22:37,3.13,67.02,43.63,28.28,199
R-000306,B-011,2026-03-26 20:22:37,2.41,-11.54,27.84,23.34,77
R-000307,B-006,2026-03-26 20:22:37,2.37,-74.84,26.78,14.43,109
R-000308,B-025,2026-03-26 20:22:37,2.48,-80.33,31.53,27.54,123
R-000309,B-013,2026-03-26 20:22:37,3.07,-63.05,43.48,18.71,191
R-000310,B-020,2026-03-26 20:22:37,2.68,-19.22,42.88,74.87,88
R-000311,B-001,2026-03-26 20:22:37,3.23,-73.44,40.32,38.4,190
R-000312,B-018,2026-03-26 20:22:37,2.49,75.79,30.49,35.23,103
R-000313,B-019,2026-03-26 20:22:37,3.69,101.65,39.23,44.6,32
R-000314,B-004,2026-03-26 20:22:37,2.85,71.21,39.44,99.63,145
R-000315,B-021,2026-03-26 20:23:37,3.42,-86.82,25.8,69.26,25
R-000316,B-016,2026-03-26 20:23:37,2.51,-98.01,40.41,47.12,168
R-000317,B-024,2026-03-26 20:23:37,2.39,-83.63,31.67,11.89,59
R-000318,B-019,2026-03-26 20:23:37,3.77,72.72,35.22,45.72,32
R-000319,B-012,2026-03-26 20:23:37,3.67,140.12,41.48,40.5,174
R-000320,B-010,2026-03-26 20:23:37,2.8,105.01,40.31,83.38,45
R-000321,B-022,2026-03-26 20:23:37,3.37,-50.07,38.0,54.64,129
R-000322,B-022,2026-03-26 20:24:37,3.28,-22.76,37.7,53.78,129
R-000323,B-014,2026-03-26 20:24:37,3.89,-36.57,27.58,66.29,152
R-000324,B-002,2026-03-26 20:24:37,3.7,141.24,39.79,36.67,53
R-000325,B-025,2026-03-26 20:24:37,2.39,-97.21,36.84,26.88,123
R-000326,B-015,2026-03-26 20:24:37,2.73,-12.05,44.74,79.58,106
R-000327,B-008,2026-03-26 20:24:37,3.63,-97.74,36.69,35.3,29
R-000328,B-007,2026-03-26 20:24:37,3.55,-82.65,33.76,26.31,37
R-000329,B-018,2026-03-26 20:24:37,2.45,135.86,31.37,36.58,103
R-000330,B-017,2026-03-26 20:24:37,3.02,-31.04,44.94,13.92,169
R-000331,B-023,2026-03-26 20:24:37,3.92,-16.47,32.62,62.77,136
R-000332,B-003,2026-03-26 20:24:37,3.29,-83.74,44.24,48.32,48
R-000333,B-005,2026-03-26 20:24:37,3.15,50.54,40.74,28.79,199
R-000334,B-009,2026-03-26 20:25:37,4.06,-20.59,42.98,80.41,104
R-000335,B-013,2026-03-26 20:25:37,3.01,-76.89,25.98,17.97,191
R-000336,B-024,2026-03-26 20:25:37,2.34,-65.25,39.54,10.93,59
R-000337,B-004,2026-03-26 20:25:37,2.81,79.61,33.73,100.0,146
R-000338,B-012,2026-03-26 20:25:37,3.71,114.42,29.06,41.48,174
R-000339,B-006,2026-03-26 20:25:37,2.34,-99.88,37.59,13.84,109
R-000340,B-014,2026-03-26 20:25:37,3.93,-68.43,44.12,65.59,152
R-000341,B-021,2026-03-26 20:25:37,3.41,-86.07,40.91,68.91,25
